"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 11:41:21 CST 2021","Mon Oct 25 11:41:22 CST 2021","1668","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-2-3插槽核数输入框验证/插槽核数输入框输入大于24验证",""
"passed","Mon Oct 25 11:44:09 CST 2021","Mon Oct 25 11:44:11 CST 2021","2160","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-4高可用选择项验证/选择OFF验证",""
"passed","Mon Oct 25 11:43:29 CST 2021","Mon Oct 25 11:43:29 CST 2021","19","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-4-12接收峰值输入框验证/接收峰值输入框默认值验证",""
"passed","Mon Oct 25 11:40:41 CST 2021","Mon Oct 25 11:40:45 CST 2021","3449","test_case.calculate_module","test_cservermodule","TestServicePage","","","添加云服务器/基本信息页参数校验",""
"passed","Mon Oct 25 11:41:02 CST 2021","Mon Oct 25 11:41:07 CST 2021","4959","test_case.calculate_module","test_cservermodule","TestServicePage","","","添加云服务器/CPU、内存信息页参数校验",""
"passed","Mon Oct 25 11:42:59 CST 2021","Mon Oct 25 11:43:00 CST 2021","1217","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-4-8发送速率输入框验证/发送速率输入框输入为空验证",""
"passed","Mon Oct 25 11:43:32 CST 2021","Mon Oct 25 11:43:34 CST 2021","1780","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-4-12接收峰值输入框验证/接收峰值输入框输入大于4194303验证",""
"passed","Mon Oct 25 11:44:16 CST 2021","Mon Oct 25 11:44:18 CST 2021","2167","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-7启动选择项验证/选择UEFI验证",""
"passed","Mon Oct 25 11:44:07 CST 2021","Mon Oct 25 11:44:07 CST 2021","28","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-3显示选择项验证/默认选择VGA验证",""
"passed","Mon Oct 25 11:43:34 CST 2021","Mon Oct 25 11:43:37 CST 2021","2871","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-4-12接收峰值输入框验证/接收峰值输入框输入小于0验证",""
"passed","Mon Oct 25 11:40:59 CST 2021","Mon Oct 25 11:41:02 CST 2021","2335","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-1-3创建个数输入框验证/创建个数输入框输入小于1验证",""
"passed","Mon Oct 25 11:42:48 CST 2021","Mon Oct 25 11:42:49 CST 2021","1074","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-4-6队列数输入框验证/队列数输入框默认值验证",""
"passed","Mon Oct 25 11:44:14 CST 2021","Mon Oct 25 11:44:16 CST 2021","2169","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-6巨页内存选择项验证/选择ON验证",""
"passed","Mon Oct 25 11:44:20 CST 2021","Mon Oct 25 11:44:20 CST 2021","26","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-9VNC选择项验证/默认选择OFF验证",""
"passed","Mon Oct 25 11:44:07 CST 2021","Mon Oct 25 11:44:09 CST 2021","2160","test_case.calculate_module","test_cservermodule","TestServicePage","","","<1-5-3显示选择项验证/选择vGPU验证",""
